year,month,day,data,median,LB,UB
2024,9,28,3.334798113,3.334798113,2.334798113,3.334798113
2024,10,5,1.94528180104493,2.10838776018988,1.16079867543299,3.07798897281724
2024,10,12,2.33373183472224,2.0112568828495,1.26169354315164,2.84515610258415
2024,10,19,1.79138005966777,1.87735429740207,1.16768777689979,2.71597461856967
2024,10,26,1.69318800509191,1.73775173523321,1.05707181650091,2.54504327853433
2024,11,2,1.2825511563773,1.59542922519598,0.894004595226618,2.41095985056911
2024,11,9,1.21892257505709,1.45603473424129,0.749748280390467,2.27866906827938
2024,11,16,1.20558820821233,1.33746812162551,0.617264476007432,2.22555489025034
2024,11,23,1.1848979351045,1.22708730223595,0.528816421724275,2.13594514387178
2024,11,30,1.30794115177409,1.11634929049361,0.389943493155778,2.18624669661787
2024,12,7,1.47393709737582,1.02481461248732,0.256000626582806,2.25968783985671
2024,12,14,1.94287640148186,0.935028577668541,0.131221175102885,2.33160422075094
