year,month,day,data,median,LB,UB
2024,8,10,8.17745326154498,8.17745326154498,8.17745326154498,8.17745326154498
2024,8,17,8.01920041134282,7.72450812467393,6.13804582774109,9.2447911627767
2024,8,24,8.19897434081367,8.44082071617833,7.1520717999351,9.79660351213474
2024,8,31,7.82683165487676,8.30072041765275,6.98733065006902,9.71998442577338
2024,9,7,7.48378415730662,7.41729778980399,6.09124570122559,8.73459790605441
2024,9,14,6.73207460257153,6.23972278704021,4.99293146363642,7.53836569667462
2024,9,21,5.31560184604967,5.07695550250748,3.79096318319841,6.34177499268352
2024,9,28,4.03924569203458,4.04363197954326,2.75713613485471,5.31710105107976
2024,10,5,2.83363730747668,3.17552739808624,1.84393464797378,4.48481979653592
2024,10,12,2.27276757511544,2.50459094227362,1.16366415158564,3.93131346266958
2024,10,19,2.02438808780849,1.97061139067305,0.608671660029703,3.61474630956807
2024,10,26,1.97611877883325,1.56484326223501,0.229278260701024,3.64744185524991
