year,month,day,data,median,LB,UB
2024,8,24,8.2130809721436,8.2130809721436,8.2130809721436,8.2130809721436
2024,8,31,8.35132658590336,8.21605136878561,6.7811452416491,9.68128024089765
2024,9,7,7.83410407627995,8.1744205791225,6.8285223976961,9.50512964891461
2024,9,14,7.560599718127,7.14322337121848,5.75634957927832,8.49305538384429
2024,9,21,5.61708351252454,5.57619008224927,4.3606630873297,6.79564875432921
2024,9,28,4.234253316,4.2049772018863,2.97176823744421,5.467249119114
2024,10,5,2.68983340201172,3.15743787481614,1.92746126968832,4.40192167166193
2024,10,12,2.20656315476573,2.44067936574551,1.26687273308966,3.63825300452135
2024,10,19,2.06881129212585,1.97350964394824,0.722742752301911,3.22353509773026
2024,10,26,2.23633568458819,1.68432991789596,0.276395930030499,3.20968691424914
2024,11,2,2.48542774165056,1.47699350927645,-0,3.46692449182614
2024,11,9,2.48986195338677,1.32108446194962,-0,3.88553487704356
