year,month,day,data,median,LB,UB
2024,7,6,2.77028422623707,2.77028422623707,1.77028422623707,2.77028422623707
2024,7,13,3.46385492701242,2.92264820907375,1.96792471576454,3.91112049150115
2024,7,20,3.98181832891091,3.63204414309101,2.44427874188398,4.64231786424285
2024,7,27,4.27079858320526,4.43307149088237,2.89982513287361,5.53651993603106
2024,8,3,5.39452485318596,5.19126401650131,3.48825890703317,6.262875415647
2024,8,10,5.99386847076829,5.75818797416483,4.17689749622787,6.7763829929483
2024,8,17,6.58358095767494,6.01248957898625,4.88340173213488,6.96452939959464
2024,8,24,6.08313134356208,6.06379350829581,5.17852295453127,6.81458376526655
2024,8,31,5.58867933163876,5.74083620476026,4.76710993837931,6.63400437531355
2024,9,7,4.67056233955332,5.09355998191324,3.99896751025861,6.28135614703766
2024,9,14,4.35303687801571,4.34072846118606,3.09605968937781,5.62439843080852
2024,9,21,3.3900520574713,3.5773193946861,2.222935634095,4.85539598485416
